benchmark,shape,method,thread,parameter,time(s),speedup
layernorm,"(256, 256, 10)",triton,4,"(4,)",0.00762496,2.1223
layernorm,"(256, 256, 10)",triton,4,"(8,)",0.00750358,2.1566
layernorm,"(256, 256, 10)",triton,4,"(16,)",0.00761862,2.124
layernorm,"(256, 256, 10)",triton,4,"(32,)",0.0120002,1.3485
layernorm,"(256, 256, 10)",triton,4,"(64,)",0.0127235,1.2718
layernorm,"(256, 256, 10)",triton,8,"(4,)",0.0071199,2.2728
layernorm,"(256, 256, 10)",triton,8,"(8,)",0.00729966,2.2168
layernorm,"(256, 256, 10)",triton,8,"(16,)",0.00725449,2.2306
layernorm,"(256, 256, 10)",triton,8,"(32,)",0.00961269,1.6834
layernorm,"(256, 256, 10)",triton,8,"(64,)",0.0100257,1.6141
layernorm,"(512, 512, 10)",triton,1,"(4,)",0.0413904,1.2906
layernorm,"(512, 512, 10)",triton,1,"(8,)",0.036702,1.4555
layernorm,"(512, 512, 10)",triton,1,"(16,)",0.0395835,1.3495
layernorm,"(512, 512, 10)",triton,1,"(32,)",0.111994,0.477
layernorm,"(512, 512, 10)",triton,1,"(64,)",0.123376,0.433
layernorm,"(512, 512, 10)",triton,4,"(4,)",0.0170408,3.1348
layernorm,"(512, 512, 10)",triton,4,"(8,)",0.0155337,3.439
layernorm,"(512, 512, 10)",triton,4,"(16,)",0.0171801,3.1094
layernorm,"(512, 512, 10)",triton,4,"(32,)",0.0329468,1.6214
layernorm,"(512, 512, 10)",triton,4,"(64,)",0.0363388,1.4701
layernorm,"(512, 512, 10)",triton,8,"(4,)",0.0144245,3.7034
layernorm,"(512, 512, 10)",triton,8,"(8,)",0.0131912,4.0497
layernorm,"(512, 512, 10)",triton,8,"(16,)",0.0142368,3.7522
layernorm,"(512, 512, 10)",triton,8,"(32,)",0.0202139,2.6427
layernorm,"(512, 512, 10)",triton,8,"(64,)",0.0221434,2.4125
layernorm,"(1024, 1024, 10)",triton,1,"(4,)",0.150931,1.3146
layernorm,"(1024, 1024, 10)",triton,1,"(8,)",0.134347,1.4769
layernorm,"(1024, 1024, 10)",triton,1,"(16,)",0.150754,1.3162
layernorm,"(1024, 1024, 10)",triton,1,"(32,)",0.438076,0.4529
layernorm,"(1024, 1024, 10)",triton,1,"(64,)",0.48601,0.4083
layernorm,"(1024, 1024, 10)",triton,4,"(4,)",0.049129,4.0387
layernorm,"(1024, 1024, 10)",triton,4,"(8,)",0.0481145,4.1239
layernorm,"(1024, 1024, 10)",triton,4,"(16,)",0.0503373,3.9417
layernorm,"(1024, 1024, 10)",triton,4,"(32,)",0.11502,1.7251
layernorm,"(1024, 1024, 10)",triton,4,"(64,)",0.129692,1.5299
layernorm,"(1024, 1024, 10)",triton,8,"(4,)",0.0352922,5.6221
layernorm,"(1024, 1024, 10)",triton,8,"(8,)",0.0327563,6.0574
layernorm,"(1024, 1024, 10)",triton,8,"(16,)",0.0344347,5.7621
layernorm,"(1024, 1024, 10)",triton,8,"(32,)",0.0620928,3.1955
layernorm,"(1024, 1024, 10)",triton,8,"(64,)",0.0684008,2.9008
layernorm,"(64, 64, 10)",clang,1,,0.0047367,1.0
layernorm,"(64, 64, 10)",clang,4,,0.005192,0.9123
layernorm,"(64, 64, 10)",clang,8,,0.00597218,0.7931
layernorm,"(64, 64, 10)",triton_tuned,1,"(16,)",0.00434499,1.0902
layernorm,"(64, 64, 10)",triton_tuned,4,"(4,)",0.00499458,0.9484
layernorm,"(64, 64, 10)",triton_tuned,8,"(16,)",0.00584172,0.8108
layernorm,"(128, 128, 10)",clang,1,,0.00691191,1.0
layernorm,"(128, 128, 10)",clang,4,,0.00576905,1.1981
layernorm,"(128, 128, 10)",clang,8,,0.00620356,1.1142
layernorm,"(128, 128, 10)",triton_tuned,1,"(8,)",0.00559238,1.236
layernorm,"(128, 128, 10)",triton_tuned,4,"(4,)",0.0055153,1.2532
layernorm,"(128, 128, 10)",triton_tuned,8,"(8,)",0.0060328,1.1457
layernorm,"(256, 256, 10)",clang,1,,0.0161821,1.0
layernorm,"(256, 256, 10)",clang,4,,0.00828364,1.9535
layernorm,"(256, 256, 10)",clang,8,,0.00807938,2.0029
layernorm,"(256, 256, 10)",triton_tuned,1,"(8,)",0.0121983,1.3266
layernorm,"(256, 256, 10)",triton_tuned,4,"(8,)",0.00750358,2.1566
