benchmark,shape,method,thread,parameter,time(s),speedup
matmul,"(32, 32, 32, 10)",triton,2,"(4, 8, 16)",0.0128151,1.8759
matmul,"(32, 32, 32, 10)",triton,2,"(4, 8, 32)",0.0124743,1.9271
matmul,"(32, 32, 32, 10)",triton,2,"(4, 16, 4)",0.0145491,1.6523
matmul,"(32, 32, 32, 10)",triton,2,"(4, 16, 8)",0.0145389,1.6535
matmul,"(32, 32, 32, 10)",triton,2,"(4, 16, 16)",0.0277098,0.8675
matmul,"(32, 32, 32, 10)",triton,2,"(4, 16, 32)",0.0117516,2.0456
matmul,"(32, 32, 32, 10)",triton,2,"(4, 32, 4)",0.0178273,1.3485
matmul,"(32, 32, 32, 10)",triton,2,"(4, 32, 8)",0.0129082,1.8623
matmul,"(32, 32, 32, 10)",triton,2,"(4, 32, 16)",0.0127744,1.8818
matmul,"(32, 32, 32, 10)",triton,2,"(4, 32, 32)",0.0124338,1.9334
matmul,"(32, 32, 32, 10)",triton,2,"(8, 4, 4)",0.0127965,1.8786
matmul,"(32, 32, 32, 10)",triton,2,"(8, 4, 8)",0.012669,1.8975
matmul,"(32, 32, 32, 10)",triton,2,"(8, 4, 16)",0.0128362,1.8728
matmul,"(32, 32, 32, 10)",triton,2,"(8, 4, 32)",0.0128683,1.8681
matmul,"(32, 32, 32, 10)",triton,2,"(8, 8, 4)",0.0126084,1.9066
matmul,"(32, 32, 32, 10)",triton,2,"(8, 8, 8)",0.0121477,1.9789
matmul,"(32, 32, 32, 10)",triton,2,"(8, 8, 16)",0.027098,0.8871
matmul,"(32, 32, 32, 10)",triton,2,"(8, 8, 32)",0.0120748,1.9909
matmul,"(32, 32, 32, 10)",triton,2,"(8, 16, 4)",0.0124739,1.9272
matmul,"(32, 32, 32, 10)",triton,2,"(8, 16, 8)",0.0120282,1.9986
matmul,"(32, 32, 32, 10)",triton,2,"(8, 16, 16)",0.0128278,1.874
matmul,"(32, 32, 32, 10)",triton,2,"(8, 16, 32)",0.0240501,0.9996
matmul,"(32, 32, 32, 10)",triton,2,"(8, 32, 4)",0.0123487,1.9467
matmul,"(32, 32, 32, 10)",triton,2,"(8, 32, 8)",0.0146872,1.6368
matmul,"(32, 32, 32, 10)",triton,2,"(8, 32, 16)",0.0129813,1.8518
matmul,"(32, 32, 32, 10)",triton,2,"(8, 32, 32)",0.0127517,1.8852
matmul,"(32, 32, 32, 10)",triton,2,"(16, 4, 4)",0.0163604,1.4694
matmul,"(32, 32, 32, 10)",triton,2,"(16, 4, 8)",0.014037,1.7126
matmul,"(32, 32, 32, 10)",triton,2,"(16, 4, 16)",0.0124522,1.9305
matmul,"(32, 32, 32, 10)",triton,2,"(16, 4, 32)",0.0124015,1.9384
matmul,"(32, 32, 32, 10)",triton,2,"(16, 8, 4)",0.0130922,1.8362
matmul,"(32, 32, 32, 10)",triton,2,"(16, 8, 8)",0.0121855,1.9728
matmul,"(32, 32, 32, 10)",triton,2,"(16, 8, 16)",0.012659,1.899
matmul,"(32, 32, 32, 10)",triton,2,"(16, 8, 32)",0.0142929,1.6819
matmul,"(32, 32, 32, 10)",triton,2,"(16, 16, 4)",0.0126862,1.8949
matmul,"(32, 32, 32, 10)",triton,2,"(16, 16, 8)",0.0249071,0.9652
